time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-04T07:08:34.334Z,0.0344,96.6081,10,4.6,mb,,194,1.589,0.52,us,us6000h1zl,2022-03-04T07:31:43.040Z,"271 km S of Sinabang, Indonesia",earthquake,10.8,1.9,0.102,29,reviewed,us,us
2022-03-04T07:00:49.338Z,-9.3125,119.1894,78.85,4.3,mb,,79,1.476,1.08,us,us6000h1zj,2022-03-04T07:17:12.040Z,"86 km SSW of Komodo, Indonesia",earthquake,7.9,9.5,0.189,8,reviewed,us,us
2022-03-04T06:56:35.230Z,38.8076668,-122.7823334,-0.02,0.73,md,14,86,0.005731,0.04,nc,nc73700966,2022-03-04T07:28:14.346Z,"4km NNW of The Geysers, CA",earthquake,0.24,0.52,0.25,3,automatic,nc,nc
2022-03-04T06:56:03.730Z,38.8301659,-122.8153305,1.9,0.85,md,13,63,0.01692,0.01,nc,nc73700961,2022-03-04T07:17:20.287Z,"8km NW of The Geysers, CA",earthquake,0.27,0.82,,1,automatic,nc,nc
2022-03-04T06:50:10.280Z,19.1988334655762,-155.399337768555,31.9400005340576,2.1099999,md,46,159,,0.109999999,hv,hv72937077,2022-03-04T06:53:23.980Z,"8 km E of Pāhala, Hawaii",earthquake,0.55,0.800000012,0.230000004,21,automatic,hv,hv
2022-03-04T06:49:48.540Z,37.6118317,-121.7610016,6.49,0.8,md,8,163,0.01075,0.03,nc,nc73700956,2022-03-04T07:07:16.227Z,"8km S of Livermore, CA",earthquake,0.49,0.9,0.25,9,automatic,nc,nc
2022-03-04T06:45:55.877Z,59.1338,-153.0926,71.6,1.9,ml,,,,0.94,ak,ak0222wap89r,2022-03-04T06:50:42.880Z,"71 km WSW of Nanwalek, Alaska",earthquake,,0.8,,,automatic,ak,ak
2022-03-04T06:25:04.060Z,36.5461655,-121.0964966,10.01,1.73,md,15,105,0.05605,0.09,nc,nc73700951,2022-03-04T06:50:14.129Z,"4km ENE of Pinnacles, CA",earthquake,0.45,1.01,0.27,13,automatic,nc,nc
2022-03-04T06:23:42.070Z,38.8226662,-122.8523331,2.53,0.37,md,10,89,0.02064,0.02,nc,nc73700946,2022-03-04T06:40:14.072Z,"10km WNW of The Geysers, CA",earthquake,0.38,0.84,0.01,2,automatic,nc,nc
2022-03-04T06:23:21.327Z,63.8643,-148.6322,6.1,1.4,ml,,,,0.78,ak,ak0222wakfuv,2022-03-04T06:27:50.457Z,"16 km E of Healy, Alaska",earthquake,,0.3,,,automatic,ak,ak
2022-03-04T06:15:56.080Z,33.5513333,-116.6755,7.33,0.48,ml,18,67,0.04052,0.11,ci,ci40199344,2022-03-04T06:19:27.338Z,"0km SSW of Anza, CA",earthquake,0.22,0.45,0.159,14,automatic,ci,ci
2022-03-04T06:11:40.820Z,38.847332,-122.8190002,1.58,0.86,md,8,120,0.008067,0.01,nc,nc73700941,2022-03-04T06:26:16.987Z,"9km WNW of Cobb, CA",earthquake,0.36,0.78,,1,automatic,nc,nc
2022-03-04T06:08:51.206Z,61.2311,-150.2011,43.8,1.5,ml,,,,0.5,ak,ak0222wahaev,2022-03-04T06:15:29.036Z,"16 km W of Anchorage, Alaska",earthquake,,3.6,,,automatic,ak,ak
2022-03-04T06:01:32.469Z,63.2346,-150.6083,5.1,2,ml,,,,0.76,ak,ak0222wafqyg,2022-03-04T06:09:58.080Z,"65 km ESE of Denali National Park, Alaska",earthquake,,0.3,,,automatic,ak,ak
2022-03-04T05:38:19.840Z,38.8381653,-122.8081665,2.1,0.85,md,8,70,0.01482,0.01,nc,nc73700936,2022-03-04T06:15:14.903Z,"8km WNW of Cobb, CA",earthquake,0.49,1.68,,1,automatic,nc,nc
2022-03-04T05:30:38.298Z,62.5519,-149.621,0,1.9,ml,,,,0.89,ak,ak0222wa0jkl,2022-03-04T05:38:54.317Z,"27 km ENE of Chase, Alaska",earthquake,,0.3,,,automatic,ak,ak
2022-03-04T05:30:34.170Z,37.8758316,-122.25383,9.06,1.06,md,14,73,0.004256,0.02,nc,nc73700931,2022-03-04T06:05:21.850Z,"2km ENE of Berkeley, CA",earthquake,0.29,0.56,0.09,7,automatic,nc,nc
2022-03-04T05:24:05.156Z,62.9284,-148.3379,14.9,0.9,ml,,,,0.96,ak,ak0222w9z6pv,2022-03-04T05:31:43.042Z,"60 km SSE of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2022-03-04T05:23:10.710Z,19.2423324584961,-155.398834228516,31.1499996185303,2.29,ml,43,135,,0.150000006,hv,hv72936992,2022-03-04T05:28:41.720Z,"9 km ENE of Pāhala, Hawaii",earthquake,0.55,0.660000026,0.51,6,automatic,hv,hv
2022-03-04T05:18:56.883Z,-7.0835,129.1661,151.23,4.2,mb,,76,2.295,0.66,us,us6000h1z9,2022-03-04T07:20:43.040Z,"287 km NE of Lospalos, Timor Leste",earthquake,8.1,7.4,0.147,13,reviewed,us,us
2022-03-04T05:01:04.104Z,5.6396,-77.8781,10,4.3,mb,,116,2.4,0.76,us,us6000h1z6,2022-03-04T05:46:44.040Z,"67 km W of Nuquí, Colombia",earthquake,6.3,2,0.154,12,reviewed,us,us
2022-03-04T04:59:03.170Z,38.8398323,-122.8280029,1.38,1.07,md,22,76,0.01525,0.03,nc,nc73700916,2022-03-04T05:33:14.668Z,"9km WNW of Cobb, CA",earthquake,0.18,0.48,0.19,5,automatic,nc,nc
2022-03-04T04:57:17.354Z,51.6246,177.3249,59.1,4.2,mb,,210,0.842,0.67,us,us6000h1z5,2022-03-04T05:58:28.351Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,11.6,11.1,0.066,68,reviewed,us,us
2022-03-04T04:56:30.599Z,64.5714,-149.4365,18.2,1.3,ml,,,,0.29,ak,ak0222w9knzn,2022-03-04T04:59:09.652Z,"15 km WSW of Four Mile Road, Alaska",earthquake,,0.3,,,automatic,ak,ak
2022-03-04T04:53:16.310Z,-27.0552,-175.9766,10,5,mb,,72,2.789,1.39,us,us6000h1z7,2022-03-04T05:16:38.040Z,"Kermadec Islands region",earthquake,10.3,1.8,0.063,84,reviewed,us,us
