time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-02T15:22:18.576Z,63.7196,-150.6752,3.5,1.3,ml,,,,0.47,ak,ak0222t4ufdt,2022-03-02T15:25:34.080Z,"55 km ENE of Denali National Park, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-03-02T15:07:07.550Z,38.7724991,-122.879837,2.03,1.43,md,28.0,148.0,0.02633,0.06,nc,nc73700026,2022-03-02T15:15:11.594Z,"11km W of The Geysers, CA",earthquake,0.43,0.47,0.05,5.0,automatic,nc,nc
2022-03-02T15:03:00.177Z,-30.1295,-177.6868,35.0,5.5,mb,,55.0,0.888,1.22,us,us6000h1e8,2022-03-02T15:25:56.202Z,"Kermadec Islands, New Zealand",earthquake,9.8,1.9,0.034,296.0,reviewed,us,us
2022-03-02T14:57:37.540Z,38.8328323,-122.7931671,6.56,0.36,md,7.0,78.0,0.005989,0.04,nc,nc73700011,2022-03-02T15:24:14.645Z,"6km W of Cobb, CA",earthquake,1.14,3.4,,1.0,automatic,nc,nc
2022-03-02T14:52:25.459Z,63.0052,-150.5116,94.4,1.6,ml,,,,0.54,ak,ak0222t4ffsl,2022-03-02T15:02:21.538Z,"58 km NNE of Petersville, Alaska",earthquake,,0.8,,,automatic,ak,ak
2022-03-02T14:44:37.791Z,63.1557,-144.4264,13.7,1.2,ml,,,,0.51,ak,ak0222t4dr0j,2022-03-02T14:47:49.612Z,"42 km NW of Mentasta Lake, Alaska",earthquake,,0.7,,,automatic,ak,ak
2022-03-02T14:26:13.210Z,18.023,-66.9548333333333,10.71,2.72,md,4.0,219.0,,0.09,pr,pr71338538,2022-03-02T14:55:15.650Z,"2 km SSW of Liborio Negron Torres, Puerto Rico",earthquake,3.99,4.56,0.0743436254933489,2.0,reviewed,pr,pr
2022-03-02T14:22:51.240Z,38.8223343,-122.8085022,2.85,0.84,md,9.0,81.0,0.001622,0.01,nc,nc73700001,2022-03-02T14:52:14.461Z,"7km NW of The Geysers, CA",earthquake,0.5,1.41,,1.0,automatic,nc,nc
2022-03-02T13:55:52.200Z,38.8288345,-122.8043365,1.74,1.17,md,11.0,72.0,0.007042,0.01,nc,nc73699991,2022-03-02T14:32:14.329Z,"7km W of Cobb, CA",earthquake,0.36,0.84,,1.0,automatic,nc,nc
2022-03-02T13:51:54.990Z,38.7745018,-122.7463303,2.64,0.6,md,10.0,80.0,0.01151,0.02,nc,nc73699986,2022-03-02T15:18:11.609Z,"1km ESE of The Geysers, CA",earthquake,0.52,1.07,0.06,2.0,automatic,nc,nc
2022-03-02T13:30:57.146Z,61.3348,-147.3926,11.1,1.4,ml,,,,1.13,ak,ak0222t3pcvm,2022-03-02T13:35:02.264Z,"54 km SSE of Glacier View, Alaska",earthquake,,0.2,,,automatic,ak,ak
2022-03-02T13:28:59.620Z,38.8084984,-122.8246689,2.11,1.02,md,17.0,65.0,0.003542,0.03,nc,nc73699981,2022-03-02T13:37:11.000Z,"7km WNW of The Geysers, CA",earthquake,0.26,0.67,0.39,3.0,automatic,nc,nc
2022-03-02T13:23:10.910Z,38.8253326,-122.8564987,2.35,0.37,md,8.0,74.0,0.01692,0.01,nc,nc73699976,2022-03-02T13:32:09.963Z,"10km WNW of The Geysers, CA",earthquake,0.41,1.43,,1.0,automatic,nc,nc
